Region,Year,Age,count_diff,rate_ratio
EAW,1913,32,112,1.19
EAW,1913,33,219,1.28
EAW,1913,34,178,1.23
EAW,1913,35,231,1.26
EAW,1913,36,171,1.2
EAW,1913,37,329,1.31
EAW,1913,38,281,1.25
EAW,1913,39,172,1.18
EAW,1913,40,309,1.27
EAW,1913,41,184,1.2
EAW,1913,42,347,1.28
EAW,1913,43,223,1.21
EAW,1913,44,277,1.24
EAW,1913,45,465,1.36
EAW,1913,46,305,1.26
EAW,1913,47,195,1.18
EAW,1913,48,474,1.31
EAW,1913,49,535,1.34
EAW,1913,50,585,1.38
EAW,1913,51,476,1.35
EAW,1913,52,425,1.26
EAW,1913,53,585,1.34
EAW,1913,54,374,1.25
EAW,1913,55,439,1.31
EAW,1913,56,525,1.33
EAW,1913,57,528,1.34
EAW,1913,58,435,1.27
EAW,1913,59,678,1.39
EAW,1913,60,667,1.4
EAW,1913,61,613,1.41
EAW,1913,62,677,1.39
EAW,1913,63,393,1.28
EAW,1913,64,527,1.33
EAW,1913,65,557,1.35
EAW,1913,66,398,1.33
EAW,1913,67,311,1.32
EAW,1913,68,95,1.25
EAW,1913,69,225,1.3
EAW,1913,70,4,1.25
EAW,1913,71,-286,1.18
EAW,1913,72,-268,1.24
EAW,1913,73,-368,1.26
EAW,1913,74,-496,1.26
EAW,1913,75,-332,1.33
EAW,1913,76,-603,1.24
EAW,1913,77,-648,1.2
EAW,1913,78,-637,1.19
EAW,1913,79,-529,1.22
EAW,1913,80,-736,1.21
EAW,1913,81,-615,1.22
EAW,1913,82,-633,1.25
EAW,1913,83,-669,1.22
EAW,1913,84,-658,1.22
EAW,1913,85,-579,1.22
EAW,1913,86,-487,1.28
EAW,1913,87,-525,1.19
EAW,1913,88,-434,1.19
EAW,1913,89,-451,1.09
EAW,1913,90,-369,1.06
EAW,1913,91,-227,1.24
EAW,1913,92,-270,1.06
EAW,1913,93,-191,1.13
EAW,1913,94,-180,0.97
EAW,1913,95,-76,1.31
EAW,1913,96,-53,1.3
EAW,1913,97,-32,1.5
EAW,1913,98,-32,1.23
EAW,1913,99,-31,1.11
EAW,1913,100,-11,1.23
EAW,1914,0,11847,1.27
EAW,1914,1,1139,1.08
EAW,1914,2,270,1.04
EAW,1914,3,27,1
EAW,1914,4,-24,0.98
EAW,1914,5,-33,0.98
EAW,1914,6,71,1.04
EAW,1914,7,-37,0.96
EAW,1914,8,43,1.05
EAW,1914,9,49,1.06
EAW,1914,10,-27,0.97
EAW,1914,11,-47,0.95
EAW,1914,12,-45,0.95
EAW,1914,13,-25,0.98
EAW,1914,14,-103,0.89
EAW,1914,15,79,1.11
EAW,1914,16,438,1.48
EAW,1914,17,2002,3.1
EAW,1914,18,2833,4.16
EAW,1914,19,3096,4.29
EAW,1914,20,2854,4.12
EAW,1914,21,2732,3.83
EAW,1914,22,2469,3.57
EAW,1914,23,2247,3.43
EAW,1914,24,1966,3.11
EAW,1914,25,1753,2.92
EAW,1914,26,1719,2.91
EAW,1914,27,1462,2.46
EAW,1914,28,1209,2.18
EAW,1914,29,1078,2.02
EAW,1914,30,1019,1.96
EAW,1914,31,822,1.81
EAW,1914,32,789,1.74
EAW,1914,33,714,1.68
EAW,1914,34,651,1.6
EAW,1914,35,592,1.54
EAW,1914,36,597,1.52
EAW,1914,37,565,1.47
EAW,1914,38,548,1.41
EAW,1914,39,405,1.31
EAW,1914,40,526,1.4
EAW,1914,41,490,1.4
EAW,1914,42,382,1.28
EAW,1914,43,304,1.27
EAW,1914,44,369,1.29
EAW,1914,45,405,1.31
EAW,1914,46,331,1.28
EAW,1914,47,426,1.31
EAW,1914,48,424,1.28
EAW,1914,49,500,1.3
EAW,1914,50,744,1.43
EAW,1914,51,425,1.31
EAW,1914,52,332,1.23
EAW,1914,53,520,1.31
EAW,1914,54,581,1.31
EAW,1914,55,646,1.39
EAW,1914,56,573,1.35
EAW,1914,57,599,1.37
EAW,1914,58,491,1.3
EAW,1914,59,659,1.36
EAW,1914,60,569,1.33
EAW,1914,61,571,1.38
EAW,1914,62,440,1.31
EAW,1914,63,613,1.37
EAW,1914,64,334,1.26
EAW,1914,65,321,1.25
EAW,1914,66,453,1.33
EAW,1914,67,320,1.31
EAW,1914,68,237,1.3
EAW,1914,69,289,1.34
EAW,1914,70,-51,1.25
EAW,1914,71,-156,1.23
EAW,1914,72,-296,1.22
EAW,1914,73,-580,1.18
EAW,1914,74,-385,1.28
EAW,1914,75,-900,1.15
EAW,1914,76,-731,1.2
EAW,1914,77,-620,1.22
EAW,1914,78,-764,1.15
EAW,1914,79,-668,1.16
EAW,1914,80,-736,1.23
EAW,1914,81,-641,1.24
EAW,1914,82,-712,1.23
EAW,1914,83,-799,1.16
EAW,1914,84,-801,1.16
EAW,1914,85,-678,1.17
EAW,1914,86,-578,1.24
EAW,1914,87,-488,1.28
EAW,1914,88,-548,1.12
EAW,1914,89,-406,1.18
EAW,1914,90,-314,1.23
EAW,1914,91,-238,1.25
EAW,1914,92,-257,1.1
